latitude,longitude
51.4962179,4.775943755
51.4847934,4.774259
51.4840869,4.73086815
51.48345305,4.732115748
51.4744796,4.8055257
51.46993615,4.467443881
51.46894895,4.50338775
51.4672769,4.4690985
51.4662111,4.735228016
51.4651482,4.46025045
51.46459885,4.723693534
51.460919,4.4749423
51.4566734,4.4483206
51.4537463,5.044553733
51.4516463,4.732690623
51.4497065,4.501073803
51.4481351,4.5029556
51.4479098,4.789673444
51.4466835,4.734384913
51.4462936,4.6958454
51.4461273,4.4104913
51.44603825,4.412176461
51.44500935,4.923506927
51.4427525,4.738588
51.4415906,4.7392877
51.4345611,4.7476432
51.4318021,4.812199289
51.4317422,4.5135438
51.4312957,4.514068316
51.4297109,4.3064314
51.4297109,4.3064314
51.4287801,4.7129498
51.42518215,4.759850692
51.4241472,4.4759021
51.41838855,4.762561938
51.41623575,5.082102566
51.4120926,5.0149124
51.41166605,4.958211392
51.4108572,5.0071505
51.4064804,4.7633286
51.40506495,4.543808738
51.40447145,5.011639242
51.4031245,4.7736631
51.40298155,4.770008243
51.4020579,4.7667009
51.4011746,4.7767518
51.4011746,4.7767518
51.4009375,4.592342097
51.4009375,4.592342097
51.4007982,4.7610528
51.4007982,4.7610528
51.4004573,4.627042066
51.3983607,4.777928992
51.39686855,4.4987776
51.39686035,4.795656909
51.3965321,4.7582071
51.3950357,4.9463021
51.39481125,4.505904099
51.39481125,4.505904099
51.3945314,4.5024182
51.3944897,4.5970541
51.39362295,4.75337482
51.3925567,4.5944589
51.391435,4.473243
51.3913981,4.466276725
51.39061385,4.736463626
51.3903978,4.463264026
51.3903588,4.7557899
51.38986155,4.747894128
51.38985105,4.740981101
51.3896383,4.731131552
51.3880837,4.705221659
51.38611305,4.732769336
51.38584355,4.47158778
51.3856769,4.887491652
51.38386565,4.938304754
51.3829005,4.4757966
51.3827314,4.476024825
51.38169865,5.010693709
51.3761113,4.4487892
51.3720503,4.5002259
51.3709415,4.8354086
51.3704957,4.48410245
51.36896595,5.010660705
51.3685412,4.3023892
51.3685412,4.3023892
51.36795395,4.497666958
51.3660038,4.7578621
51.3654664,4.4590589
51.3649,4.3226422
51.3649,4.3226422
51.3648966,4.5002637
51.3644452,4.4637546
51.3635645,4.8619362
51.3628389,4.8272705
51.36164165,4.466503014
