,base,medical_resource,province,region,departure_location,departure_location_number,latitude,longitude,occasional_permanence
48,BW AVEL [OU] 112 Avelgem,ZW AVELGEM 1 (Team: AWAVEL01A)_x000D_ZW AVELGEM 2 (Team: AWAVEL02A),West-Vlaanderen,Vlaams Gewest,Oudenaardsesteenweg 76 8580 AVELGEM,30202,50.7786794,3.4490966,N
49,BW TIEL Rode Kruis,PIT TIELT (Team: AWTIEL01A),West-Vlaanderen,Vlaams Gewest,Bruggestraat 84 8700 TIELT,3531,51.0023637,3.3234085,N
50,BX LIBR Croix Rouge,CR BELGIQUE LIBRAMONT (Team: AXLIBR02A),Luxemburg,Waals Gewest,Rue Fleurie 19 A 6800 LIBRAMONT,3682,49.9279133,5.3682538,N
51,FA HVP ANTW [Zuid] Antwerpen,ZW ANTWERPEN 1 (Team: AAANTW01A),Antwerpen,Vlaams Gewest,Paleisstraat 121 2018 ANTWERPEN,3814,51.2053995,4.3971557,N
52,FA HVP BALE Kempen,ZW BALEN 1 (Team: AABALE01A),Antwerpen,Vlaams Gewest,Vredelaan 2 2490 BALEN,16002,51.1709534,5.1755429,N
53,FA HVP BOOM Rivierenland,ZW BOOM 1 (Team: AABOOM01A),Antwerpen,Vlaams Gewest,Dijleweg 5 2850 BOOM,17002,51.0960533,4.3547325,N
54,FA HVP HEIS Rivierenland,ZW HEIST OP DEN BERG 1 (Team: AAHEIS01A)_x000D_ZW HEIST OP DEN BERG 2 (Team: AAHEIS02A),Antwerpen,Vlaams Gewest,Broekstraat 46A 2220 HEIST OP DEN BERG,17001,51.0838438,4.7363928,N
55,FA HVP HERA Kempen,ZW HERENTALS 1 (Team: AAHERA01A),Antwerpen,Vlaams Gewest,Oudstrijderslaan 1 2200 HERENTALS,16005,51.1873563,4.8403769,N
56,FA HVP HOOG Taxandria,ZW HOOGSTRATEN 1 (Team: AAHOOG01A)_x000D_ZW HOOGSTRATEN 2 (Team: AAHOOG02A),Antwerpen,Vlaams Gewest,St Lenaertseweg 38 2320 HOOGSTRATEN,15002,51.3880749,4.7422763,N
57,FA HVP KALM Rand,ZW KALMTHOUT (Team: AAKALM01A),Antwerpen,Vlaams Gewest,Kerkeneind 17 2920 KALMTHOUT,13501,51.383289,4.478244,N
58,FA HVP MALL [Oostmalle] Rand,ZW OOSTMALLE 2/ ZW WESTMALLE 2 (Team: AAMALL02A),Antwerpen,Vlaams Gewest,Turnhoutsebaan 8 2390 MALLE,14003,51.301117,4.734865,N
59,FA HVP MOL_ Kempen,ZW MOL 1 (Team: AAMOL_01A),Antwerpen,Vlaams Gewest,Ambachtstraat 18 2400 MOL,16004,51.1889959,5.0948491,N
60,FA HVP PUUR [Puurs] Rivierenland,ZW PUURS (Team: AAPUUR01A),Antwerpen,Vlaams Gewest,Kleine Amer 22 2870 PUURS,17006,51.0773485,4.2973462,N
61,FA HVP TURN Taxandria,ZW TURNHOUT 1 (Team: AATURN01A)_x000D_ZW TURNHOUT 2 (Team: AATURN02A)_x000D_ZW TURNHOUT 3 (Team: AATURN03A),Antwerpen,Vlaams Gewest,Parklaan 12 2300 TURNHOUT,15003,51.3120757,4.9314228,N
62,FA HVP WEST Kempen,ZW WESTERLO 1 (Team: AAWEST01A),Antwerpen,Vlaams Gewest,De Merodedreef 13 2260 WESTERLO,16001,51.0825171,4.91256,N
63,FA HVP WILL Rivierenland,ZW WILLEBROEK 1 (Team: AAWILL01A),Antwerpen,Vlaams Gewest,De Veert 9 - 10 2830 WILLEBROEK,17003,51.0668189,4.3598043,N
64,FA HVP WUUS Rand,ZW WUUSTWEZEL 1 (Team: AAWUUS01A),Antwerpen,Vlaams Gewest,Alois Blommaertstraat 3 2990 WUUSTWEZEL,14004,51.3948812,4.5998185,N
65,FB PDS ANDE [PASI Anderlecht] SIAMU,AMB AND 1 (Team: ABANDE01A)_x000D_AMB AND 2 (Team: ABANDE02A)_x000D_AMB AND 3 (Team: ABANDE03A)_x000D_AMB AND 4 (Team: ABANDE04A),,Brussels Hoofdstedelijk Gewest,Chaussée De Mons 627 1070 ANDERLECHT,24107,50.8324872,4.3115682,N
66,FB PDS BRUX [PASI Cité] SIAMU,AMB CITE 10 (Team: ABBRUX10A)_x000D_AMB CITE 11 (Team: ABBRUX11A),,Brussels Hoofdstedelijk Gewest,Rue Vésale 1000 BRUXELLES,24113,50.8508852,4.3643289,N
67,FB PDS IXEL [PASI Delta] SIAMU,AMB DELTA 1 (Team: ABIXEL01A)_x000D_AMB DELTA 2 (Team: ABIXEL02A)_x000D_AMB DELTA 3 (Team: ABIXEL03A),,Brussels Hoofdstedelijk Gewest,Boulevard Du Triomphe 155 1050 IXELLES,24104,50.818885,4.40286,N
