,base,medical_resource,province,region,departure_location,departure_location_number,latitude,longitude,occasional_permanence
139,FO HVP GENT [Centrum] Centrum,PIT GENT 2 (Team: POGENT02A)_x000D_ZW GENT 1 (Team: AOGENT01A),Oost-Vlaanderen,Vlaams Gewest,Roggestraat 70 9000 GENT,40001,51.0685818,3.7107182,N
140,FO HVP GENT [Wondelgem] Centrum,ZW GENT 6 (Team: AOEVER01A),Oost-Vlaanderen,Vlaams Gewest,Elslo 185 9940 EVERGEM,40010,51.1225683,3.7343254,N
141,FO HVP GERA Zuid Oost,ZW GERAARDSBERGEN (Team: AOGERA01A),Oost-Vlaanderen,Vlaams Gewest,Zakkaai 33 9500 GERAARDSBERGEN,46504,50.7744735,3.8806202,N
142,FO HVP HERZ Vlaamse Ardennen,ZW HERZELE (Team: AOHERZ01A),Oost-Vlaanderen,Vlaams Gewest,Mergellaan 75 9550 HERZELE,45502,50.895623,3.875861,N
143,FO HVP KRUB Waasland,ZW KRUIBEKE (Team: AOKRUB01A),Oost-Vlaanderen,Vlaams Gewest,O. L. Vrouw Plein 19 9150 KRUIBEKE,46002,51.1710697,4.3128898,N
144,FO HVP KRUS Vlaamse Ardennen,ZW KRUISEM (Team: AOKRUS01A),Oost-Vlaanderen,Vlaams Gewest,Warandestraat 2 9770 KRUISHOUTEM,45501,50.9020353,3.5239706,N
145,FO HVP MALD Meetjesland,ZW MALDEGEM 1 (Team: AOMALD01A)_x000D_ZW MALDEGEM 2 (Team: AOMALD02A),Oost-Vlaanderen,Vlaams Gewest,Bloemdaelelaan 4 9990 MALDEGEM,41002,51.2115034,3.4523276,N
146,FO HVP MELL Centrum,ZW MELLE (Team: AOMELL01A),Oost-Vlaanderen,Vlaams Gewest,Brusselsesteenweg 148 9090 MELLE,40005,51.0119241,3.788643,N
147,FO HVP NINO Zuid Oost,ZW NINOVE 1 (Team: AONINO01A)_x000D_ZW NINOVE 2 (Team: AONINO02A),Oost-Vlaanderen,Vlaams Gewest,Desire De Bodtkaai 3 9400 NINOVE,46505,50.8333827,4.0258741,N
148,FO HVP OUDE Vlaamse Ardennen,ZW OUDENAARDE 2 (Team: AOOUDE02A)_x000D_ZW OUDENAARDE HVZ 1B (Team: AOOUDE01B),Oost-Vlaanderen,Vlaams Gewest,Bedrijvenpark De Coupure 21 9700 OUDENAARDE,42402,50.8519728,3.6093181,N
149,FO HVP SGIL Waasland,ZW ST GILLIS WAAS (Team: AOSGIL01A),Oost-Vlaanderen,Vlaams Gewest,Blokstraat 107 9170 SINT-GILLIS-WAAS,46003,51.2229416,4.1314694,N
150,FO HVP SNIK Waasland,ZW SINT NIKLAAS 1 (Team: AOSNIK01A)_x000D_ZW SINT NIKLAAS 2 (Team: AOSNIK02A),Oost-Vlaanderen,Vlaams Gewest,Nijverheidsstraat 33 9100 SINT-NIKLAAS,46005,51.1698779,4.1356144,N
151,FO HVP TEMS Waasland,ZW TEMSE (Team: AOTEMS01A),Oost-Vlaanderen,Vlaams Gewest,Kasteelstraat 16 9140 TEMSE,46004,51.1247009,4.2152415,N
152,FO HVP WACH Centrum,ZW WACHTEBEKE (Team: AOWACH01A),Oost-Vlaanderen,Vlaams Gewest,Walderdonk 103 9185 WACHTEBEKE,40007,51.1770867,3.8412857,N
153,FO HVP WICH Zuid Oost,ZW WICHELEN 1 (Team: AOWICH01A),Oost-Vlaanderen,Vlaams Gewest,Margote 116 9260 WICHELEN,46502,51.0043694,3.9788552,N
154,FO HVP ZELE Oost,ZW ZELE (Team: AOZELE01A),Oost-Vlaanderen,Vlaams Gewest,Poststraat 2 9240 ZELE,45201,51.0698766,4.0355777,N
155,FV HVP DILB West,ZW DILBEEK (Team: AVDILB01A),Vlaams-Brabant,Vlaams Gewest,De Heetveldelaan 6 1700 DILBEEK,24005,50.8484777,4.2636854,N
156,FV HVP GALM [Tollembeek] West,ZW TOLLEMBEEK (Team: AVGALM01A),Vlaams-Brabant,Vlaams Gewest,Hernestraat 51 1570 TOLLEMBEEK,24003,50.7389508,4.0143627,N
157,FV HVP HAAC Oost,ZW HAACHT (Team: AVHAAC01A),Vlaams-Brabant,Vlaams Gewest,Provinciesteenweg 7 3150 HAACHT,23002,50.9668905,4.6130102,N
158,FV HVP HALL West,ZW HALLE 2 (Team: AVHALL02A)_x000D_ZW HALLE 3 (Team: AVHALL03A),Vlaams-Brabant,Vlaams Gewest,Felix Roggemanskaai 2242 1500 HALLE,24001,50.7510345,4.2539965,N
159,FV HVP LAND Oost,ZW LANDEN 1 (Team: AVLAND01A)_x000D_ZW LANDEN 2 (Team: AVLAND02A),Vlaams-Brabant,Vlaams Gewest,Attenhovenstraat  47 3400 LANDEN,23004,50.7574788,5.081719,N
160,FV HVP LENN West,ZW LENNIK 1 (Team: AVLENN01A)_x000D_ZW LENNIK 2 (Team: AVLENN02A),Vlaams-Brabant,Vlaams Gewest,Assesteenweg 244 1750 LENNIK,24002,50.8345572,4.1436051,N
161,FV HVP LEUV Oost,ZW LEUVEN 3 (Team: AVLEUV03A)_x000D_ZW LEUVEN 4 (Team: AVLEUV04A),Vlaams-Brabant,Vlaams Gewest,Terbankstraat 20 3001 LEUVEN,23001,50.8774603,4.6658621,N
162,FV HVP LOND West,ZW LONDERZEEL 1 (Team: AVLOND01A)_x000D_ZW LONDERZEEL 2 (Team: AVLOND02A)_x000D_ZW LONDERZEEL 3 (Team: AVLOND03A),Vlaams-Brabant,Vlaams Gewest,Mechelsestraat  72 1840 LONDERZEEL,24008,51.0043083,4.3068028,N
163,FV HVP OVER Oost,ZW OVERIJSE 1 (Team: AVOVER01A)_x000D_ZW OVERIJSE 2 (Team: AVOVER02A)_x000D_ZW OVERIJSE 3 (Team: AVOVER03A),Vlaams-Brabant,Vlaams Gewest,Schavei  77 3090 OVERIJSE,23005,50.7770126,4.5270384,N
164,FV HVP TIEN Oost,ZW TIENEN 1 (Team: AVTIEN01A)_x000D_ZW TIENEN 2 (Team: AVTIEN02A),Vlaams-Brabant,Vlaams Gewest,Diestsesteenweg  360 3300 TIENEN,23003,50.8236483,4.9371776,N
165,FV HVP VILV West,ZW VILVOORDE 1 (Team: AVVILV01A)_x000D_ZW VILVOORDE 2 (Team: AVVILV02A)_x000D_ZW VILVOORDE 3 (Team: AVVILV03A),Vlaams-Brabant,Vlaams Gewest,Rondeweg  32 1800 VILVOORDE,24007,50.9251278,4.4234588,N
166,FV HVP ZAVE West,ZW ZAVENTEM 1 (Team: AVZAVE01A)_x000D_ZW ZAVENTEM 2 (Team: AVZAVE02A)_x000D_ZW ZAVENTEM 3 (Team: AVZAVE03A),Vlaams-Brabant,Vlaams Gewest,Hoge Wei 2 1930 ZAVENTEM,24006,50.8754995,4.500188,N
167,FW HVP BLAN 1,ZW BLANKENBERGE 1 (Team: AWBLAN01A)_x000D_ZW BLANKENBERGE 2 (Team: AWBLAN02A),West-Vlaanderen,Vlaams Gewest,Vredelaan 27 8370 BLANKENBERGE,30004,51.3103591,3.1224345,N
168,FW HVP BRUG [HP] 1,ZW BRUGGE HP 1 (Team: AWBRUG01A),West-Vlaanderen,Vlaams Gewest,Pathoekeweg 215 8000 BRUGGE,30005,51.2691894,3.2073533,N
169,FW HVP BRUG [VP] 1,ZW BRUGGE VP 4 (Team: AWBRUG04A)_x000D_ZW BRUGGE VP 5 (Team: AWBRUG05A),West-Vlaanderen,Vlaams Gewest,Walweinstraat 20 8000 BRUGGE,30006,51.2217871,3.2272175,N
170,FW HVP DIKS Westhoek,AMB COLLOC WESTHOEK 2 (Team: AWDIKS02A)_x000D_AMB DIKSMUIDE 1 (Team: AWDIKS01A),West-Vlaanderen,Vlaams Gewest,Heernisse 4 8600 DIKSMUIDE,35009,51.0291835,2.8584529,N
171,FW HVP GIST 1,ZW GISTEL 1 (Team: AWGIST01A)_x000D_ZW GISTEL 2 (Team: AWGIST02A),West-Vlaanderen,Vlaams Gewest,Neerhofstraat 16 B 8470 GISTEL,30007,51.158035,2.9691926,N
172,FW HVP HARE Fluvia,ZW HARELBEKE (Team: AWHARE01A),West-Vlaanderen,Vlaams Gewest,Tweebruggenstraat 2 8530 HARELBEKE,33007,50.8568661,3.3085433,N
173,FW HVP HEUV [NI] Westhoek,ZW NIEUWKERKE (Team: AWHEUV01A),West-Vlaanderen,Vlaams Gewest,Dranouterstraat 5 8950 HEUVELLAND,35001,50.7472089,2.8219631,N
174,FW HVP HOUT Westhoek,ZW MERKEM (Team: AWHOUT01A),West-Vlaanderen,Vlaams Gewest,Kouterstraat 26 8650 HOUTHULST,35004,50.952499,2.8516999,N
175,FW HVP IEPE Westhoek,ZW IEPER 2 BW (Team: AWIEPE02A),West-Vlaanderen,Vlaams Gewest,Minneplein 1A 8900 IEPER,35010,50.8527201,2.8772348,N
176,FW HVP IZEG Midwest,ZW IZEGEM 1 (Team: AWIZEG01A),West-Vlaanderen,Vlaams Gewest,Dirk Martenslaan 15 8870 IZEGEM,31002,50.9183685,3.2187142,N
177,FW HVP JABB 1,ZW JABBEKE (Team: AWJABB01A),West-Vlaanderen,Vlaams Gewest,Vlamingveld 40 8490 JABEKKE,30010,51.1816879,3.1074547,N
178,FW HVP KNOK 1,ZW KNOKKE 1 (Team: AWKNOK01A)_x000D_ZW KNOKKE 2 (Team: AWKNOK02A)_x000D_ZW KNOKKE 3 (Team: AWKNOK03A),West-Vlaanderen,Vlaams Gewest,Brandweerstraat 7 8300 KNOKKE-HEIST,30001,51.3397081,3.2868892,N
179,FW HVP KOKS Westhoek,ZW KOKSIJDE (Team: AWKOKS01A),West-Vlaanderen,Vlaams Gewest,Zeelaan 37 8670 KOKSIJDE,35011,51.1058531,2.6493834,N
180,FW HVP KORR Fluvia,ZW KORTRIJK 1 (Team: AWKORR01A)_x000D_ZW KORTRIJK 2 (Team: AWKORR02A)_x000D_ZW KORTRIJK 3 (Team: AWKORR03A),West-Vlaanderen,Vlaams Gewest,Doorniksesteenweg 214 A 8500 KORTRIJK,33004,50.8108953,3.2756054,N
181,FW HVP LEDE Fluvia,ZW LEDEGEM (Team: AWLEDE01A),West-Vlaanderen,Vlaams Gewest,Kloosterstraat 4 8880 LEDEGEM,33002,50.8771729,3.1759393,N
182,FW HVP LICH Midwest,ZW LICHTERVELDE (Team: AWLICH01A),West-Vlaanderen,Vlaams Gewest,Beverenstraat 16 8810 LICHTERVELDE,31004,51.0254614,3.1414086,N
183,FW HVP MENE Fluvia,ZW MENEN (Team: AWMENE01A),West-Vlaanderen,Vlaams Gewest,Krommebeekstraat 34/A 8930 MENEN,33005,50.8136468,3.1265431,N
184,FW HVP MIDD 1,ZW MIDDELKERKE (Team: AWMIDD01A),West-Vlaanderen,Vlaams Gewest,Kleine kasteelstraat  3 8430 MIDDELKERKE,30011,51.1833126,2.8238932,N
185,FW HVP NIEU Westhoek,ZW LICHTERVELDE (Team: AWNIEU01A),West-Vlaanderen,Vlaams Gewest,Gasstraat 37 8620 NIEUWPOORT,35008,51.1282901,2.7573816,N
186,FW HVP OOSE 1,ZW OOSTENDE 1 (Team: AWOOSE01A)_x000D_ZW OOSTENDE 2 (Team: AWOOSE02A)_x000D_ZW OOSTENDE 3 (Team: AWOOSE03A)_x000D_ZW OOSTENDE 4 (Team: AWOOSE04A),West-Vlaanderen,Vlaams Gewest,Velodroomstraat 13 8400 OOSTENDE,30008,51.2246918,2.9061035,N
187,FW HVP OOSK 1,ZW OOSTKAMP 1 (Team: AWOOSK01A),West-Vlaanderen,Vlaams Gewest,Siemenslaan 8 8020 OOSTKAMP,30002,51.1480531,3.238243,N
188,FW HVP OOSK [Ruddervoorde] 1,ZW RUDDERVOORDE 2 (Team: AWOOSK02A),West-Vlaanderen,Vlaams Gewest,Hofstraat 26 8020 RUDDERVOORDE,30003,51.0947818,3.2055415,N
189,FW HVP PANN Westhoek,ZW DE PANNE (Team: AWPANN01A),West-Vlaanderen,Vlaams Gewest,Loskaai 14 8660 DE PANNE,35003,51.0948698,2.5835932,N
190,FW HVP POPE Westhoek,ZW POPERINGE 1 (Team: AWPOPE01A),West-Vlaanderen,Vlaams Gewest,Doornstraat 45 8970 POPERINGE,35006,50.8593871,2.7262218,N
191,FW HVP POPE [Roesbrugge] Westhoek,ZW ROESBRUGGE 2 (Team: AWPOPE02A),West-Vlaanderen,Vlaams Gewest,Haringestraat 26 A 8972 ROESBRUGGE,35005,50.9166912,2.6257251,N
192,FW HVP ROES Midwest,ZW ROESELARE 1 (Team: AWROES01A)_x000D_ZW ROESELARE 2 (Team: AWROES02A)_x000D_ZW ROESELARE 3 (Team: AWROES03A),West-Vlaanderen,Vlaams Gewest,Koning Albert 1 Laan 4 8800 ROESELARE,31001,50.9498725,3.1292766,N
193,FW HVP TORH 1,ZW TORHOUT 1 (Team: AWTORH01A)_x000D_ZW TORHOUT 2 (Team: AWTORH02A),West-Vlaanderen,Vlaams Gewest,Aartrijksestraat 13 8820 TORHOUT,30009,51.0702509,3.1009085,N
194,FW HVP WERV Westhoek,ZW WERVIK (Team: AWWERV01A),West-Vlaanderen,Vlaams Gewest,Gasstraat 2 8940 WERVIK,35002,50.7815035,3.0441079,N
195,FW HVP WEVE Fluvia,ZW WEVELGEM (Team: AWWEVE01A),West-Vlaanderen,Vlaams Gewest,Nieuwe Markt 3 8560 WEVELGEM,33003,50.8125511,3.1850362,N
196,FX PDS ARLO Luxembourg,ZS.ARLON 1 (Team: AXARLO01A)_x000D_ZS.ARLON 2 (Team: AXARLO02A)_x000D_ZS.ARLON 3 (Team: AXARLO03A),Luxemburg,Waals Gewest,Rue De Redange 55 6700 ARLON,80002,49.6907796,5.8205844,N
197,FX PDS AUBA Luxembourg,ZS.AUBANGE 1 (Team: AXAUBA01A)_x000D_ZS.AUBANGE 2 (Team: AXAUBA02A),Luxemburg,Waals Gewest,Rue Des Metallurgistes 9 6791 ATHUS,80014,49.5646195,5.8245395,N
198,FX PDS BAST Luxembourg,ZS.BASTOGNE 1 (Team: AXBAST01A)_x000D_ZS.BASTOGNE 2 (Team: AXBAST02A),Luxemburg,Waals Gewest,Rue du Fortin 22 6600 BASTOGNE,80017,49.9921075,5.7059044,N
199,FX PDS BERR Luxembourg,ZS.BERTRIX 1 (Team: AXBERR01A),Luxemburg,Waals Gewest,Rue De Blezy 34 6880 BERTRIX,80010,49.856,5.2651139,N
200,FX PDS BOUI Luxembourg,ZS.BOUILLON (Team: AXBOUI01A),Luxemburg,Waals Gewest,Rue Des 4 Moineaux 23B 6832 CURFOZ,80008,49.811984,5.079105,N
201,FX PDS EREZ Luxembourg,ZS.EREZEE 1 (Team: AXEREZ01A)_x000D_ZS.EREZEE 2 (Team: AXEREZ02A),Luxemburg,Waals Gewest,Rue Des Combattants 27 6997 EREZEE,80006,50.2913872,5.5537595,N
202,FX PDS ETAL Luxembourg,ZS.ETALLE 1 (Team: AXETAL01A)_x000D_ZS.ETALLE 2 (Team: AXETAL02A),Luxemburg,Waals Gewest,Rue Saint-Antoine 193 6740 ETALLE,80001,49.6763545,5.5978765,N
203,FX PDS FLOR Luxembourg,ZS.FLORENV (Team: AXFLOR01A),Luxemburg,Waals Gewest,Rue Du Clument 6820 FLORENVILLE,80004,49.6978938,5.3113728,N
204,FX PDS HOUF Luxembourg,ZS.HOUFFAL (Team: AXHOUF01A),Luxemburg,Waals Gewest,Rue De Laroche 49 6660 HOUFFALIZE,80011,50.1285486,5.78569,N
205,FX PDS NEUF Luxembourg,ZS.NEUFCH 1 (Team: AXNEUF01A),Luxemburg,Waals Gewest,Chaussee D'Arlon 50 6840 NEUFCHATEAU,80009,49.8404341,5.4349469,N
206,FX PDS ROCH Luxembourg,ZS.LAROCHE 1 (Team: AXROCH01A),Luxemburg,Waals Gewest,Rue du Chalet 27 6980 LA-ROCHE-EN-ARDENNE,80016,50.1800993,5.5747724,N
207,FX PDS VIEL Luxembourg,ZS.VIELSALM 1 (Team: AXVIEL01A)_x000D_ZS.VIELSALM 2 (Team: AXVIEL02A),Luxemburg,Waals Gewest,Rue De La Clinique 1Z 6690 VIELSAM,80007,50.2826398,5.9207515,N
208,FX PDS VIRT Luxembourg,ZS.VIRTON 1 (Team: AXVIRT01A)_x000D_ZS.VIRTON 2 (Team: AXVIRT02A),Luxemburg,Waals Gewest,Rue Du Moulin 20 6760 VIRTON,80013,49.5649592,5.5346367,N
209,HA U ANTW AZ Monica,ZW ANTWERPEN 8 (Team: AAANTW08A),Antwerpen,Vlaams Gewest,Florent Pauwelslei 1 2100 DEURNE,15201,51.2063667,4.4702018,N
210,HA U ANTW Jan Palfijn,ZW ANTWERPEN 10 (Team: AAANTW10A),Antwerpen,Vlaams Gewest,Lange Bremstraat 70 2170 MERKSEM,11701,51.2588916,4.4513523,N
211,HA U ANTW Middelheim,ZW ANTWERPEN 5 (Team: AAANTW05A),Antwerpen,Vlaams Gewest,Kruispunt Floralienlaan/Elisabethlaan 2020 ANTWERPEN,11703,51.1826931,4.4237404,N
212,HA U ANTW St Vincentius,ZW ANTWERPEN 6 (Team: AAANTW06A),Antwerpen,Vlaams Gewest,Sint Vincentiusstraat 20 2018 ANTWERPEN,16601,51.2059492,4.412103,N
213,HA U ANTW Stuivenberg,ZW ANTWERPEN 4 (Team: AAANTW04A),Antwerpen,Vlaams Gewest,Lange Beeldekensstraat 267 2060 ANTWERPEN,11702,51.222403,4.4351584,N
214,HA UR BONH Imelda,ZW BONHEIDEN 1 (Team: AABONH01A),Antwerpen,Vlaams Gewest,Imeldalaan 9 2820 BONHEIDEN,10301,51.0173887,4.5602291,N
215,HA UR BORN AZ Rivierenland,ZW BORNEM (Team: AABORN02A),Antwerpen,Vlaams Gewest,Kasteelstraat 23 2880 BORNEM,17004,51.1001657,4.2320056,N
216,HA UR BRAS AZ Klina,ZW BRASSCHAAT 1 (Team: AABRAS01A),Antwerpen,Vlaams Gewest,Augustijnslei 100 2930 BRASSCHAAT,16401,51.2997041,4.4890033,N
217,HA UR BRAS [De Mick] AZ Klina,ZW BRASSCHAAT 2 (Team: AABRAS02A),Antwerpen,Vlaams Gewest,Papestraat 30 2930 BRASSCHAAT,16402,51.308509,4.5457484,N
218,HA UR EDEG UZ Antwerpen,ZW EDEGEM 1 (Team: AAEDEG01A)_x000D_ZW EDEGEM 2 (Team: AAEDEG02A),Antwerpen,Vlaams Gewest,Wilrijkstraat 10 2650 EDEGEM,16501,51.1577655,4.4108501,N
219,HA UR HERA AZ,ZW HERENTALS 2 (Team: AAHERA02A),Antwerpen,Vlaams Gewest,Nederrij 133 2200 HERENTALS,16801,51.1846342,4.8356473,N
220,HA UR MALL AZ St Jozef,ZW MALLE 1 (Team: AAMALL01A),Antwerpen,Vlaams Gewest,Oude Liersebaan 4 2390 MALLE,10402,51.2742932,4.6444488,N
221,HA UR MECH AZ St Maarten,ZW MECHELEN 1 (Team: AAMECH01A)_x000D_ZW MECHELEN 2 (Team: AAMECH02A),Antwerpen,Vlaams Gewest,Liersesteenweg 435 2800 MECHELEN,10403,51.0487637,4.4793302,N
222,HB UR BRUX CHU St Pierre,AMB HSP 14 (Team: ABBRUX14A)_x000D_AMB HSP 6 (Team: ABBRUX06A)_x000D_AMB HSP 7 (Team: ABBRUX07A)_x000D_AMB HSP 8 (Team: ABBRUX08A),,Brussels Hoofdstedelijk Gewest,Rue Haute 290 1000 BRUXELLES,24102,50.8357176,4.3475625,N
223,HB UR BRUX CU St Luc,AMB COVID UCL (Team: ABBRUX15A)_x000D_AMB UCL 1 (Team: ABWOLL01A)_x000D_AMB UCL 2 (Team: ABWOLL02A),,Brussels Hoofdstedelijk Gewest,Avenue Hyppocrate 92 1200 WOLUWE,24105,50.8519005,4.4603541,N
224,HB UR BRUX Europe Elisabeth,AMB ST ELISABETH 9 (Team: ABBRUX09A),,Brussels Hoofdstedelijk Gewest,Avenue De Fré 206 1180 BRUXELLES,24106,50.805155,4.3685449,N
225,HB UR BRUX Europe Michel,AMB MICHEL 1 (Team: ABETTE01A)_x000D_AMB MICHEL 2 (Team: ABETTE02A),,Brussels Hoofdstedelijk Gewest,Rue Charles Degroux 75 1040 ETTERBEEK,24114,50.8423838,4.3993125,N
226,HB UR BRUX UZ,AMB VUB 1 (Team: ABJETT01A)_x000D_AMB VUB 2 (Team: ABJETT02A)_x000D_AMB VUB 3 (Team: ABJETT03A),,Brussels Hoofdstedelijk Gewest,Avenue De L'Arbre Ballon 251 1090 JETTE,24109,50.8907283,4.3080703,N
227,HH UR LOVE IMTR,SAPG 1 (Team: AHGERP02A),Henegouwen,Waals Gewest,Chaussée de Philippeville 33 6280 LOVERVAL,50201,50.3733833,4.4674644,N
228,HH UR MONI CHU Andre Vesale,(Team: MHMILI101)_x000D_(Team: MHMILI102)_x000D_(Team: MHMILI103)_x000D_AMB VÉSALE 7 (Team: AHCHAR07A),Henegouwen,Waals Gewest,Route De Gozee 706 6110 MONTIGNIES LE TILLEUL,55701,50.3619357,4.3642107,N
229,HL UR HASS Virga Jesse,ZW HASSELT JESSA 3 (Team: ALHASS03A),Limburg,Vlaams Gewest,Stadsomvaart 11 3500 HASSELT,71401,50.9259632,5.3420969,N
230,HL UR STRU St Trudo,ZW ST-TRUIDEN (Team: ALSTRU01A),Limburg,Vlaams Gewest,Diestersteenweg  100 3800 SINT TRUIDEN,73008,50.8234022,5.1860706,N
231,HO UR GENT AZ Jan Palfijn,PIT GENT 2 (Team: POGENT02C),Oost-Vlaanderen,Vlaams Gewest,Watersportlaan 5 9000 GENT,40009,51.0492296,3.7002086,N
232,HO UR GENT AZ Maria Middelares,PIT MERELBEKE (Team: POMERE01B),Oost-Vlaanderen,Vlaams Gewest,Buitenring-Sint-Denijs 30 9000 GENT,40012,51.0242346,3.7026408,N
233,HO UR GENT AZ St Lucas,PIT GENT 2 (Team: POGENT02B),Oost-Vlaanderen,Vlaams Gewest,Groenebriel 1 9000 GENT,40008,51.0618537,3.7215097,N
234,HO UR GENT UZ,PIT GENT 3 (Team: POGENT03A),Oost-Vlaanderen,Vlaams Gewest,Corneel Heymanslaan 9000 GENT,43601,51.0237443,3.7313248,N
235,HO UR LOKE AZ,ZW LOKEREN 1 (Team: AOLOKE01A),Oost-Vlaanderen,Vlaams Gewest,Lepelstraat 4 9160 LOKEREN,44001,51.1012384,3.9998472,N
236,HO UR OUDE AZ,ZW OUDENAARDE 1 (Team: AOOUDE01A),Oost-Vlaanderen,Vlaams Gewest,Minderbroedersstraat 3 9700 OUDENAARDE,42401,50.8426069,3.6014671,N
237,HO UR RONS AZ Glorieux,ZW RONSE (Team: AORONS01A),Oost-Vlaanderen,Vlaams Gewest,Glorieuxlaan 55 9600 RONSE,44501,50.7461817,3.5997497,N
238,HO UR ZOTT AZ St Elisabeth,ZW ZOTTEGEM (Team: AOZOTT01A),Oost-Vlaanderen,Vlaams Gewest,Godveerdegemstraat 69 9620 ZOTTEGEM,40701,50.8643014,3.8165937,N
239,HV UR DIES AZ,ZW DIEST (Team: AVDIES01A),Vlaams-Brabant,Vlaams Gewest,Statiestraat 65 3290 DIEST,22401,50.988508,5.0509244,N
240,HV UR LEUV RZ HEILIG HART,ZW LEUVEN VK 1 (Team: AVLEUV01A),Vlaams-Brabant,Vlaams Gewest,Naamsestraat 105 3000 LEUVEN,26301,50.8723536,4.6998331,N
241,HV UR LEUV UZ Gasthuisberg,PIT TIH GHB (Team: PVLEUV04A),Vlaams-Brabant,Vlaams Gewest,Herestraat  49 3001 LEUVEN,28801,50.8780791,4.6731993,N
242,HW UR IEPE Jan Yperman,AMB IEPER 3 ZH (Team: AWIEPE03A)_x000D_ZW IEPER 1 ZH (Team: PWIEPE01A),West-Vlaanderen,Vlaams Gewest,Pilkemseweg 80 8900 IEPER,37101,50.8639077,2.894177,N
243,HW UR IZEG St Jozefs,ZW IZEGEM 2 (Team: AWIZEG02A),West-Vlaanderen,Vlaams Gewest,Roeselaarsestraat 47 8870 IZEGEM,31003,50.9185774,3.211183,N
244,HW UR VEUR AZ West,ZW VEURNE (Team: PWVEUR01A),West-Vlaanderen,Vlaams Gewest,Iepersesteenweg 100 8630 VEURNE,35007,51.0621679,2.6685368,N
245,HW UR WARE OLV Van Lourdes,ZW P WAREGEM (Team: PWWARE01A),West-Vlaanderen,Vlaams Gewest,Vijfseweg 150 8790 WAREGEM,30701,50.8999474,3.4182715,N
246,HX UR BAST Vivalia St Therese,PIT TIH LIBRAMONT (Bastogne) (Team: PXBAST01A),Luxemburg,Waals Gewest,Chaussée d'Houffalize 1 6600 BASTOGNE,87003,50.0124281,5.7224414,N
247,HX UR LIBR Vivalia CH Ardenne | PIT,PIT.LIBRAMONT 1 (Team: PXLIBR01A),Luxemburg,Waals Gewest,Avenue d'Houffalize 35 6800 LIBRAMONT,87002,49.9251785,5.3814012,N
248,HX UR MARC Vivalia Princesse Paola,PIT TIH LIBRAMONT (Marche en Famenne) (Team: PXMARC01A),Luxemburg,Waals Gewest,Rue du Vivier 28 6900 MARCHE EN FAMENNE,87001,50.2285032,5.3232379,N
249,LIEGE ZONE 2 INTERCOMMUNALE D'INCENDIE DE LIEGE ET ENVIRONS - SERVICE REGIONAL D'INCENDIE (LIEGE ZONE 2 IILE-SRI),(Team: AGGRAC01A),Luik,Waals Gewest,Rue Sainte Anne 30 4460 Grace-Hollogne,61005,50.6454281,5.4775191,N
250,ML HVP PELT Noord Limburg,ZW PELT (Team: ALPELT01A),Limburg,Vlaams Gewest,Heuvelerweg 24 3910 PELT,70004,51.2365534,5.4770805,N
251,BF JODO SC Person Aid,AMB JODOIGNE 1 (Team: AFJODO01A)_x000D_AMB JODOIGNE 2 (Team: AFJODO02A),Waals-Brabant,Waals Gewest,Rue De L'Avenir 5 1370 JODOIGNE,25301,50.7170595,4.8567275,Y
252,BF SART BHN AMBU,AMB SART-DAMES-AVELINES 1 (Team: AFSART01A)_x000D_AMB SART-DAMES-AVELINES 2 (Team: AFSART02A),Waals-Brabant,Waals Gewest,Rue Gustave Linet 46 1495 SART DAMES AVELINES,24601,50.5641805,4.4907038,Y
253,BG BULL Croix Rouge,CR.BUTGEN 1 (Team: AGBULL01A)_x000D_CR.BUTGEN 2 (Team: AGBULL02A),Luik,Waals Gewest,Malmedyerstrasse 5 4760 BÜLLINGEN,3666,50.4055547,6.2516179,Y
254,BG LIEG Courtois,PR.COURT 1 (Team: AGLIEG01A)_x000D_PR.COURT 2 (Team: AGLIEG02A)_x000D_PR.COURT 3 (Team: AGLIEG03A),Luik,Waals Gewest,Rue Belvaux 51 4030 GRIVEGNEE,61101,50.6204355,5.6013855,Y
255,FA HVP GEEL Kempen,ZW GEEL 1 (Team: AAGEEL01A)_x000D_ZW GEEL 2 (Team: AAGEEL02A)_x000D_ZW GEEL 3 (Team: AAGEEL03A)_x000D_ZW GEEL 4 (Team: AAGEEL04A),Antwerpen,Vlaams Gewest,Stelenseweg 92 2440 GEEL,16003,51.1521392,4.9845492,Y
256,FB PDS BRUX [Caserne Héliport] SIAMU,AMB HELI 1 (Team: ABBRUX01A)_x000D_AMB HELI 10 (Team: ABBRUX20A)_x000D_AMB HELI 11 (Team: ABBRUX21A)_x000D_AMB HELI 16 (Team: ABBRUX16A)_x000D_AMB HELI 2 (Team: ABBRUX02A)_x000D_AMB HELI 3 (Team: ABBRUX03A)_x000D_AMB HELI 4 (Team: ABBRUX04A)_x000D_AMB HELI 5 (Team: ABBRUX05A)_x000D_AMB HELI 7 (Team: ABBRUX17A)_x000D_AMB HELI 8 (Team: ABBRUX18A)_x000D_AMB HELI 9 (Team: ABBRUX19A),,Brussels Hoofdstedelijk Gewest,Avenue De L' Héliport 11-15 1000 BRUXELLES,24101,50.8594819,4.3521899,Y
