id,type,address,number,postal_code,municipality,province,location,public,available,hours,country,latitude,longitude
11252.0,Appareil fixe-Vast apparaat,rue du Monument ,54.0,1340.0,Ottignies Louvain-la-Neuve,Brabant Wallon,Couloir bâtiment B2 (face au dispatching) ,Non-Nee,Non-Nee,"Lundi à jeudi de 9h à 19h, vendredi 9h-17h , samedi 8h-16h",Belgium ,50.6635834,4.5699572
11255.0,,Avenue Demolder,,1340.0,Ottignies,Brabant Wallon,,N,,,Belgium ,50.678013,4.5635641
11514.0,,Rue de Castinia,8.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,Y,,,Belgium ,50.6702865,4.6052193
11515.0,,Boulevard De Lauzelle,,1348.0,Louvain-la-Neuve,Brabant Wallon,,Y,,,Belgium ,50.6728665,4.6065641
11516.0,,Boulevard De Lauzelle,,1348.0,Louvain-la-Neuve,Brabant Wallon,,Y,,,Belgium ,50.6728665,4.6065641
12253.0,Appareil fixe-Vast apparaat,Voie des Hennuyers,1.0,1348.0,Ottignies Louvain-la-Neuve,Brabant Wallon,couloir principal de l antenne de police,Non-Nee,,"lundi 12h30-19h, mardi au vendredi 8h30-12h30",Belgium ,50.6698754,4.6169347
12305.0,Appareil fixe-Vast apparaat,Avenue Veszprem ,3.0,1340.0,Ottignies,Brabant Wallon,Couloir,Oui-Ja,Non-Nee,,Belgium ,50.6734183,4.5760345
12958.0,Appareil fixe-Vast apparaat,Rue du Bosquet,7.0,1348.0,Louvain la Neuve,Brabant Wallon,"Rez-de-chaussée, à l entrée de l immeuble",Non-Nee,Oui-Ja,,Belgium ,50.6605271,4.6288818
13643.0,Appareil fixe-Vast apparaat,Boulevard Baudouin 1er,19.0,1348.0,Louvain-La-Neuve,Brabant Wallon,Accueil,Oui-Ja,Non-Nee,,Belgium ,50.6643019,4.6208345
13644.0,Appareil fixe-Vast apparaat,Boulevard Baudoin 1er,19.0,1348.0,Louvain-La-Neuve,Brabant Wallon,Acceuil,Oui-Ja,Non-Nee,,Belgium ,50.6643019,4.6208345
14092.0,Appareil fixe-Vast apparaat,Avenue Albert Einstein,1.0,1348.0,Ottignies-Louvain-la-Neuve ,Brabant Wallon,Accuel Reception ,Non-Nee,Non-Nee,,Belgium ,50.6654116,4.6286016
14358.0,Appareil fixe-Vast apparaat,Avenue Jean Monnet,1.0,1348.0,Louvain-La-Neuve,Brabant Wallon,.,Oui-Ja,Non-Nee,,Belgium ,50.6785888,4.6236291
14461.0,Appareil fixe-Vast apparaat,Grand-Rue,18.0,1348.0,Louvain-la-Neuve,Brabant Wallon,Restaurants universitaires,Oui-Ja,Non-Nee,de 8h à 16h,Belgium ,50.6691154,4.6141021
14742.0,Appareil fixe-Vast apparaat,Rue Montagne du Stimont,38.0,1340.0,Ottignies,Brabant Wallon,.,Oui-Ja,Non-Nee,,Belgium ,50.6651075,4.5741967
15834.0,Appareil fixe-Vast apparaat,Place de l Université,16.0,1348.0,Louvain-la-Neuve,Brabant Wallon,"3ième étage, sur le palier.
Accès durant les horaires de bureau (jours ouvrables de 9h à 18h).
L ouverture de la porte d entrée du bâtiment via le bouton central sur le panneau de sonnettes.",Oui-Ja,Non-Nee,9h à 18h les jours ouvrables,Belgium ,50.6699575,4.6155173
16137.0,Appareil fixe-Vast apparaat,Avenue jean-etienne lenoir,1.0,1348.0,Louvain-La-Neuve,Brabant Wallon,INKOM,Oui-Ja,,,Belgium ,50.6639013,4.6270095
